Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
69892,1052.973,389.85577069142295,228.67146576459547,1.7048728374914854,0.8099101140990341,71139,298.31067406418765,0.6842697839261414,0.982470937179325,0.7921416737789596,0.765182142963084,0.0055779741700255,0.001179547859919,0.5855037119095773,0.9982093746850784,BARBUNYA
34584,704.813,272.44836338099384,161.97222272290014,1.6820684361854734,0.8040910762108112,34940,209.842122594871,0.6781708369283865,0.9898111047510018,0.8748574103666823,0.7702087837519002,0.0078778731026195,0.0017101043523641,0.5932215705685814,0.997839279517784,DERMASON
72102,1072.061,377.6167302861604,243.50387603851223,1.5507627082964257,0.7643142278153247,73400,302.9902930037441,0.7084520604476585,0.982316076294278,0.7883483826334221,0.802375182831905,0.005237257361601,0.0013390402426928,0.643805934024533,0.9983902338651948,BARBUNYA
207673,1755.004,659.2733366103533,405.1692711656377,1.627155323782773,0.7888626972873007,210788,514.2153984215033,0.733686858337985,0.9852221189061996,0.8472931189152252,0.7799729943051181,0.0031745741459426,0.0007247421193951,0.6083578718452919,0.9898927499382246,BOMBAY
200116,1773.3789999999997,636.1081262359635,402.3250586196983,1.581080056057982,0.7745774724166721,202634,504.7728248769161,0.7734190815561447,0.9875736549641224,0.7996290342341656,0.7935330552429875,0.0031786969869273,0.0007774795638528,0.6296947097632704,0.9955977470119262,BOMBAY
30065,642.016,239.46516276434963,160.29284656544638,1.4939229534898664,0.7429214892924155,30415,195.65261795453355,0.7506304147005218,0.9884925201380896,0.9165989792330962,0.8170400057192008,0.0079649147767952,0.0021894457250325,0.6675543709456315,0.9972747974581676,DERMASON
34823,682.046,251.2608480237777,176.67988448860356,1.4221248148935983,0.711018640443924,35149,210.56595324580036,0.7448770053475936,0.9907251984409228,0.9406947372372232,0.8380372624782104,0.0072153705316537,0.002195289090616,0.702306453301973,0.998767434900648,DERMASON
27459,611.196,231.5531590630681,151.1926802962601,1.5315103787388564,0.7574008471254843,27760,186.9809740558724,0.7018633540372671,0.989157060518732,0.9237055955598816,0.8075077654412153,0.0084326872450951,0.0022117324295082,0.6520687912478647,0.9986501214478054,DERMASON
41928,774.5919999999999,295.1548320875479,181.78381504927907,1.6236584759074153,0.7878297588144424,42445,231.0506170337052,0.7960357692088625,0.9878195311579692,0.8781485653968547,0.7828115684217282,0.0070395638257858,0.0016306263420009,0.612793951654886,0.9949680935892546,SIRA
231066,1787.859,641.9042752331753,460.1984968278401,1.3948421814887224,0.6971482610583389,232903,542.4042483644234,0.736700143472023,0.992112596231049,0.9084047160381366,0.844992422222756,0.0027780126683855,0.0008736253786501,0.7140121936138802,0.9959343257499326,BOMBAY
79463,1068.7779999999998,412.61497529048,246.97261332554908,1.670691214440801,0.8010819729996607,80593,318.08086069943005,0.8141700819672131,0.9859789311726824,0.8741778738819305,0.7708902481678032,0.0051925421301798,0.0011311755228845,0.5942717747202172,0.9928446330152098,CALI
91010,1196.528,428.46284083325946,271.0121313456262,1.5809729206801957,0.7745424730312773,92343,340.4078891070933,0.6992593275554736,0.9855646881734405,0.7988279398414383,0.7944863746995657,0.0047078655184403,0.0011570433362885,0.6312085995832586,0.9979237032416008,BARBUNYA
71085,1049.342,383.9366687306979,236.90528975161396,1.620633583712887,0.7869297296669351,72146,300.84586258996325,0.7994264507422402,0.9852937099769912,0.811248151089027,0.7835819995640572,0.005401092617721,0.0012560276229956,0.6140007500408061,0.9950702359410316,BARBUNYA
67593,992.946,392.31779796054536,222.24080376483832,1.7652824832998362,0.8240744056954421,68881,293.36339333203085,0.7243762860082305,0.9813010844790292,0.8615100042727233,0.7477697796456684,0.0058041187395225,0.0011194061529124,0.5591596433513315,0.9870747237762892,CALI
43726,788.823,306.43284557461044,182.57124953563135,1.6784288126088862,0.803136326555625,44342,235.9526908791034,0.702154992452709,0.9861079788913444,0.8830605520594786,0.7699980412891265,0.0070080237290081,0.0015196158268268,0.5928969835890913,0.9951353801648288,SIRA
68988,1015.946,384.3988556982532,230.89843622574483,1.6647962713893567,0.7994939818613654,70406,296.3751840356905,0.7673006339673006,0.9798596710507628,0.839928212707995,0.771009537729582,0.0055719669464001,0.0012145832740914,0.5944557072699839,0.989647644969192,CALI
26264,599.4789999999999,221.74025965989955,151.20124570911165,1.4665240264388717,0.7314598628704112,26596,182.86706483925505,0.8006828851899275,0.9875169198375696,0.9183807783109236,0.8246904063327635,0.0084427451896093,0.002408946830267,0.6801142662972987,0.9974039122488332,DERMASON
46515,815.2919999999999,298.5064640893392,199.6252062387291,1.4953345307123156,0.7434903365785901,47147,243.3613309943798,0.6895606024667932,0.986595117398774,0.8793798855766214,0.8152631861316908,0.0064174237147014,0.0017487664185149,0.6646540626615959,0.9938801708761116,SIRA
28552,619.107,227.1033320129584,160.18971858838563,1.4177147822858105,0.7088487657408469,28868,190.6660312726899,0.7513684210526316,0.98905362338922,0.9360843189118015,0.8395562917668271,0.0079540253576967,0.0024376200674488,0.7048547670452658,0.9992830226046948,DERMASON
57781,958.226,381.7761337364396,194.11169391826363,1.9667858542164776,0.8610951981316471,58475,271.2361593415274,0.6597812185987029,0.988131680205216,0.7907860812282334,0.7104586572422471,0.0066072953693504,0.0010383857682755,0.5047515036504566,0.992738117274215,HOROZ
33248,660.0679999999999,230.96983467743988,183.429248655006,1.2591766927631498,0.6076960241397734,33511,205.74904224164612,0.7876619838430741,0.9921518307421444,0.9589545683883136,0.8908048210234218,0.0069468790506929,0.0026983590374317,0.7935332291585704,0.9991985470895516,SEKER
47323,824.295,318.0030003767357,190.3530111737477,1.6705961120125046,0.8010565123156815,47912,245.46591408075807,0.8137111611671853,0.9877066288195024,0.8752191298149324,0.7718981072189774,0.0067198402547753,0.0014715621734626,0.59582668792824,0.9953857482862056,SIRA
39009,729.669,259.62636111851793,191.58257501680316,1.3551668835004795,0.6748920231680504,39404,222.86274116723496,0.7885544482403121,0.9899756369911684,0.9207100633643144,0.8583979693244609,0.0066555502863061,0.0022290430599082,0.7368470737403581,0.9985507525371692,SIRA
41966,746.121,273.5086784154536,195.44915348486924,1.3993853313702245,0.6995338547505413,42250,231.15529570908785,0.7519979930473426,0.9932781065088756,0.947303000861399,0.8451479384429919,0.0065173873710969,0.0020510877612423,0.7142750378544392,0.999546010537414,DERMASON
73720,1050.7310000000002,397.394657945937,237.51457734264125,1.6731379706966407,0.8017352462923844,74893,306.3710483023424,0.7770715407562007,0.9843376550545444,0.8390968668567846,0.7709490859437322,0.0053905949260165,0.001174679128551,0.5943624931174764,0.9944504555927706,CALI
43497,774.492,289.2876329341146,192.09040888073596,1.5059972781552355,0.7477220721909594,43866,235.33401895464536,0.8060971089696071,0.9915880180549856,0.9112452894803136,0.8134949170407254,0.0066507490846291,0.0017966757280451,0.6617739800510966,0.9966298127109086,SIRA
30132,641.444,235.3682107348921,164.0478659737948,1.4347532614199938,0.7170867234808389,30578,195.87050304208623,0.769773145309626,0.9854143501864084,0.9202807303755416,0.8321875857003721,0.0078112375791481,0.0023109180310598,0.6925361777938142,0.9936185397410116,DERMASON
26614,598.639,220.42562527431804,154.08545503182762,1.4305414176100353,0.7150864438864878,26917,184.0814962009534,0.7467452300785634,0.9887431734591522,0.9332328186757454,0.8351184031886736,0.0082823185268775,0.0024849857823663,0.6974227473443998,0.9976921256595432,DERMASON
32858,669.8850000000001,247.76039096800437,169.1604878721293,1.4646469402198097,0.7306442147853925,33196,204.5387615121104,0.7652072659524919,0.989818050367514,0.9201327376536658,0.8255506891677631,0.0075403369337149,0.0021604563303293,0.6815339403853686,0.99820660044138,DERMASON
55563,873.756,315.945499986244,224.72930940222847,1.405893609634841,0.7028972745259915,56100,265.9793390925691,0.7113338710296885,0.9904278074866312,0.914566329496337,0.8418519621395134,0.0056862570413088,0.0017617698125834,0.7087147261581485,0.9963775045598472,SIRA
73874,1035.476,403.2854110610496,234.61112528687173,1.7189526309459138,0.8133679404817143,74671,306.6908836724127,0.7772937710437711,0.9893265123006254,0.8658076212080683,0.7604809776418757,0.0054590980732199,0.001126299990101,0.5783313173551432,0.9941241395260396,CALI
193584,1693.3589999999997,637.042722607846,390.593854843955,1.630959408878435,0.7899773360426487,197382,496.4663171132677,0.8005955334987593,0.9807581238410796,0.8483620693102083,0.7793297050485026,0.0032907818962716,0.000748796460609,0.6073547891709862,0.990571007925798,BOMBAY
54608,918.369,375.7502858287849,185.4111534881305,2.0265786537638864,0.8697784300538444,55060,263.6836457933972,0.7366518278699582,0.9917907737014168,0.8136389000271661,0.7017523492012666,0.0068808651814529,0.0010293387256847,0.4924563596094965,0.9980015462948778,HOROZ
36651,709.026,260.08727016010874,179.82515523755296,1.446334189543881,0.7224691675995494,37023,216.02199553306707,0.7719737978389536,0.9899521918807228,0.91616009313509,0.8305750427542445,0.0070963212507191,0.0020831883560857,0.6898549016462152,0.9977607300753524,SIRA
27617,625.484,243.79873531800035,144.823861998437,1.68341550870002,0.8044425867682532,27936,187.51814980676136,0.7406404205106201,0.9885810423825888,0.8870619570512778,0.7691514460162024,0.0088278500676395,0.0019058212044175,0.5915939469088151,0.9958984250793558,DERMASON
