PC1,PC2
-1.4314246907862818,-1.1021149921502849
-1.436706786788268,0.3435852707849105
-1.4273218143426587,0.3457200957536836
-1.257824810917345,-0.24905989230750608
-1.312466388028823,-0.018404508116780863
-1.3018675145796055,-0.12240480100591421
-1.2365698445345061,-0.07808039143563154
-1.2033488214446186,-0.18172151678551873
-1.1009920216926212,0.009137371980511517
-1.073555519474002,-0.30491532679097716
-1.1878688452003396,-0.0486357807135131
-1.0184336201442643,-0.5303867096439083
-1.2001925559233866,0.03232148121954525
-1.0640763395678126,-0.31140751942708816
-1.010574676014698,-0.46851820242425973
-1.0490439572761727,-0.3241782862086372
-0.9392257012781781,-0.6780396616379053
-0.6976282452114733,-0.8406504290935864
-0.780810190863297,-0.5853487258612553
-0.9830035255832463,-0.2565150270360211
-0.9486185955940853,-0.4409436581687594
-0.7436427639874632,-0.5699887364569778
-0.8912732324051162,-0.6415434587358309
-0.9306900430609936,-0.47130098400478593
-0.977530001586787,-0.20451946554525752
-0.9555238447661213,-0.387215345393024
-0.9593803741211017,-0.22557157258048932
-0.9696697008320923,-0.3073467063591212
-0.9261783517227503,-0.4722638979138645
-0.9365722882004666,-0.3097597881941441
-0.8601063793600212,-0.5960353564737232
-0.9136641565733636,-0.40871747429674976
-0.882594207940229,-0.41335037599506574
-0.8894933924898004,-0.41154248708362345
-0.798300561674887,-0.6229078038369994
-0.8488223831820141,-0.299187945848882
-0.729054856505377,-0.3655057778498402
-0.8067091571400041,-0.5154171582422052
-0.41250379547274885,-1.1764913972809978
-0.41250379547274885,-1.1764913972809978
-0.7703398071825894,-0.6077903544326666
-0.7958794538106725,-0.46756364652558075
-0.7901377495678449,-0.27278887331113677
-0.31273409894283855,-1.414619524580264
-0.721824321156527,-0.5920576444194586
-0.5614530618449608,-0.6190502604901043
-0.617808214676727,-0.46927091517825387
-0.1397294840456661,-1.3409683564599686
-0.0761126842144696,-1.6980567194282052
-0.5367144127045774,-0.4587324045394788
-0.011807965504556291,-1.6180840361184428
-0.3729759507239241,-0.6747816156010248
-0.1150007354732253,-0.19888955079302534
-0.06700771668329214,-0.2976821462120418
-0.07540147822958167,-0.20048087556415134
0.0017258216579180106,-0.331510478830673
-1.0284416714589706,-0.26969044320042146
-0.9739658818553171,-0.33101716343323717
-1.428549116913148,-0.006588449033242995
-1.2049513474069053,-0.18461454787087633
-0.8082686320903034,-0.47396271412329893
-0.7658200444833733,-0.28502799307130566
-0.4643597825302751,-1.338249875887396
-0.2981715011654843,-1.2737191042111409
-0.32735411032693384,-1.2848612068651661
-0.3403764370093196,-0.9510719460275922
-0.11021003132089802,-1.5231291331474839
-0.11097941280051474,-1.5037198840556238
-0.08034964844575103,-1.4304937152747441
0.16724093756559774,-1.6412837165447929
-1.7406926536631697,0.8784700600436695
-1.305965749812379,-0.3768225335082451
-1.4535827535562487,0.16293610030597366
-1.3852318906779755,0.19856361715117246
-1.3885726886547856,0.12045010282204752
-1.36137530091184,0.06364659941690189
-1.3189075618935036,0.03464138414602082
-1.297448504415027,-0.05049561729167986
-1.3010394524164763,0.3180264842464886
-1.294539876073533,0.060786745741366034
-1.2821183522331125,0.09486508354865468
-1.3291448683637272,0.26833031672524277
-1.2466687293646486,0.020621339353369992
-1.250940500696778,0.027921866015502655
-1.583080987589808,1.390053467073182
-1.1646214829714492,-0.06267613033696344
-1.2234359907106913,0.13977838064249054
-1.2024070953002535,0.09766644152453642
-1.187473902005582,-0.057324558391368345
-1.1949308709766246,-0.036698208344949364
-0.8069238105061876,-0.9513196607078064
-1.0341524591460212,-0.1524994888260514
-0.8934246066007542,-0.09161626704761978
-0.9853893375854421,0.0759824207282661
-0.9960998342339872,-0.07309993619496766
-0.7949447288363791,-0.3203280619515253
-0.6058393187362346,-0.9552265401965098
-0.5116179328399088,-0.682314635388809
-0.4612544610442423,0.019890890108774196
-0.334071697712233,-0.1730482925080354
-0.26007036187844157,-0.1400507059473171
