Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,87200.000000,87600.000000,86300.000000,86400.000000,86400.000000,256377
2023-01-03,86400.000000,87000.000000,83500.000000,85700.000000,85700.000000,535289
2023-01-04,84900.000000,89700.000000,84500.000000,89700.000000,89700.000000,582484
2023-01-05,89700.000000,90500.000000,89000.000000,89900.000000,89900.000000,372671
2023-01-06,88700.000000,91600.000000,88700.000000,90700.000000,90700.000000,520258
2023-01-09,91600.000000,95500.000000,91600.000000,95100.000000,95100.000000,1246443
2023-01-10,94900.000000,95300.000000,93600.000000,95100.000000,95100.000000,583121
2023-01-11,95300.000000,95800.000000,93800.000000,94800.000000,94800.000000,454625
2023-01-12,95000.000000,95500.000000,93100.000000,93700.000000,93700.000000,487521
2023-01-13,94100.000000,95300.000000,93600.000000,94200.000000,94200.000000,500644
2023-01-16,94700.000000,95800.000000,92700.000000,94400.000000,94400.000000,458632
2023-01-17,94200.000000,95200.000000,93300.000000,94700.000000,94700.000000,511231
2023-01-18,94700.000000,95600.000000,94200.000000,95200.000000,95200.000000,458888
2023-01-19,94200.000000,97100.000000,94100.000000,96300.000000,96300.000000,601293
2023-01-20,96200.000000,96700.000000,95000.000000,96300.000000,96300.000000,391157
2023-01-25,97200.000000,97800.000000,96200.000000,96600.000000,96600.000000,2772
2023-01-26,96400.000000,97900.000000,95800.000000,97900.000000,97900.000000,4224
2023-01-27,98100.000000,100000.000000,97500.000000,97900.000000,97900.000000,5807
2023-01-30,100000.000000,101200.000000,98100.000000,98100.000000,98100.000000,8041
2023-01-31,99900.000000,103200.000000,99200.000000,100100.000000,100100.000000,3354
2023-02-01,100100.000000,100100.000000,98100.000000,99200.000000,99200.000000,3649
2023-02-02,100100.000000,101500.000000,99000.000000,100900.000000,100900.000000,4011
2023-02-03,101300.000000,102100.000000,100200.000000,100900.000000,100900.000000,2138
2023-02-06,100900.000000,102900.000000,100000.000000,100800.000000,100800.000000,2580
